human_ensembl_gene_id,mouse_accession,mouse_ensembl_gene_id,Mmus_C57-6J_LVR_GC_C_Rep3_M38_rna,Mmus_C57-6J_LVR_GC_C_Rep3_M38_prot
ENSG00000003393,Q920R0,ENSMUSG00000026024,858.730994162182,41.5
ENSG00000003393,Q920R0,ENSMUSG00000026024,858.730994162182,41.5
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,4192.43836359596,337.7
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,4192.43836359596,337.7
ENSG00000021826,Q8C196,ENSMUSG00000025991,46252.5653260493,1918.7
ENSG00000021826,Q8C196,ENSMUSG00000025991,46252.5653260493,1918.7
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1638.68488307944,218.5
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1638.68488307944,218.5
ENSG00000048162,Q9CPT5,ENSMUSG00000025869,373.523838561311,108.3
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,477.461619486917,21.7
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,477.461619486917,21.7
ENSG00000064012,O89110,ENSMUSG00000026029,417.342478953558,35.7
ENSG00000064012,O89110,ENSMUSG00000026029,417.342478953558,35.7
ENSG00000072135,Q61152,ENSMUSG00000026126,116.827917894682,120.6
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,185.305781389458,20.3
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,185.305781389458,20.3
ENSG00000075914,Q9D0M0,ENSMUSG00000025785,437.783101986485,86.9
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,2943.50178479149,462.7
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,2943.50178479149,462.7
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,4553.33638486869,216.0
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,4553.33638486869,216.0
ENSG00000103269,Q8VC82,ENSMUSG00000025735,81.321468101285,206.1
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,867.408920513318,30.0
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,867.408920513318,30.0
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4155.04334468826,153.2
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4155.04334468826,153.2
ENSG00000182208,Q8VI63,ENSMUSG00000025147,299.115042457653,19.2
ENSG00000185624,P09103,ENSMUSG00000025130,32862.2327277144,161.3
ENSG00000185624,P09103,ENSMUSG00000025130,32862.2327277144,161.3
ENSG00000185664,Q60696,ENSMUSG00000025359,6.81936439624095,
ENSG00000185813,Q922E4,ENSMUSG00000025137,18844.4106396192,150.7
ENSG00000185813,Q922E4,ENSMUSG00000025137,18844.4106396192,150.7
ENSG00000187531,Q8BKJ9,ENSMUSG00000025138,1272.46030997334,86.3
ENSG00000189221,Q64133,ENSMUSG00000025037,220.531443895473,60.9
ENSG00000189221,Q64133,ENSMUSG00000025037,220.531443895473,60.9
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,796.168567206323,99.1
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,796.168567206323,99.1
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,7840.02194606032,315.3
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,7840.02194606032,315.3
ENSG00000197728,P62855,ENSMUSG00000025362,5428.25091009088,109.9
ENSG00000197728,P62855,ENSMUSG00000025362,5428.25091009088,109.9
ENSG00000198682,O88428,ENSMUSG00000024899,3819.6102595633,148.0
ENSG00000198682,O88428,ENSMUSG00000024899,3819.6102595633,148.0
ENSG00000198814,Q64516,ENSMUSG00000025059,2343.84566454375,84.1
ENSG00000198814,Q64516,ENSMUSG00000025059,2343.84566454375,84.1
ENSG00000229894,Q64516,ENSMUSG00000025059,2343.84566454375,84.1
ENSG00000229894,Q64516,ENSMUSG00000025059,2343.84566454375,84.1
ENSG00000211456,Q9EP69,ENSMUSG00000025240,1114.33703987968,55.3
ENSG00000211456,Q9EP69,ENSMUSG00000025240,1114.33703987968,55.3
ENSG00000213614,P29416,ENSMUSG00000025232,810.06219437196,25.5
ENSG00000213614,P29416,ENSMUSG00000025232,810.06219437196,25.5
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2888.66306846638,65.9
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2888.66306846638,65.9
ENSG00000257727,Q9QXT0,ENSMUSG00000025381,2053.70604867694,81.8
ENSG00000257727,Q9QXT0,ENSMUSG00000025381,2053.70604867694,81.8
ENSG00000115459,Q91YP6,ENSMUSG00000056698,358.059445177171,
ENSG00000115525,O88829,ENSMUSG00000056091,3497.47096510474,10.6
ENSG00000115525,O88829,ENSMUSG00000056091,3497.47096510474,10.6
ENSG00000116663,Q9QZN4,ENSMUSG00000055401,756.298511328929,73.7
ENSG00000116663,Q9QZN4,ENSMUSG00000055401,756.298511328929,73.7
ENSG00000130402,P57780,ENSMUSG00000054808,2580.08354166493,175.7
ENSG00000130402,P57780,ENSMUSG00000054808,2580.08354166493,175.7
ENSG00000131943,Q8WUR0,ENSMUSG00000054676,3115.82260094122,28.6
ENSG00000131943,Q8WUR0,ENSMUSG00000054676,3115.82260094122,28.6
ENSG00000133020,P13542,ENSMUSG00000055775,0.779444648087505,11.3
ENSG00000133020,P13542,ENSMUSG00000055775,0.779444648087505,11.3
ENSG00000133818,P62071,ENSMUSG00000055723,237.337815606743,21.9
ENSG00000133818,P62071,ENSMUSG00000055723,237.337815606743,21.9
ENSG00000137845,O35598,ENSMUSG00000054693,414.013188232069,
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O88451,ENSMUSG00000040134,24401.4073944402,127.9
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000139547,O54909,ENSMUSG00000069456,3130.53399297597,22.2
ENSG00000159596,Q3KQJ0,ENSMUSG00000055900,265.207572452913,9.7
ENSG00000163220,P31725,ENSMUSG00000056071,124.580166268805,65.6
ENSG00000163220,P31725,ENSMUSG00000056071,124.580166268805,65.6
ENSG00000135540,Q8CAF4,ENSMUSG00000039835,74.2116035325371,46.0
ENSG00000135540,Q8CAF4,ENSMUSG00000039835,74.2116035325371,46.0
ENSG00000136881,Q91X34,ENSMUSG00000039653,5089.58685186078,95.3
ENSG00000136881,Q91X34,ENSMUSG00000039653,5089.58685186078,95.3
ENSG00000137944,Q71RI9,ENSMUSG00000040213,6019.91546495476,38.2
ENSG00000137944,Q71RI9,ENSMUSG00000040213,6019.91546495476,38.2
ENSG00000140990,Q9DCS9,ENSMUSG00000040048,3261.3493147904,30.9
ENSG00000140990,Q9DCS9,ENSMUSG00000040048,3261.3493147904,30.9
ENSG00000145041,Q80TR8,ENSMUSG00000040325,518.717245786591,
ENSG00000147586,Q9CY16,ENSMUSG00000040269,470.582468755511,83.9
ENSG00000147586,Q9CY16,ENSMUSG00000040269,470.582468755511,83.9
ENSG00000148965,P31532,ENSMUSG00000040017,4641.57831427566,10.7
ENSG00000153187,Q8VEK3,ENSMUSG00000039630,4812.17441845151,131.0
ENSG00000153187,Q8VEK3,ENSMUSG00000039630,4812.17441845151,131.0
ENSG00000153956,O08532,ENSMUSG00000040118,15.8471421696859,
ENSG00000162654,Q61107,ENSMUSG00000028268,511.629369628995,
ENSG00000162654,Q61107,ENSMUSG00000028268,511.629369628995,
ENSG00000162654,Q61107,ENSMUSG00000028268,511.629369628995,
ENSG00000162654,Q61107,ENSMUSG00000028268,511.629369628995,
ENSG00000163565,Q8BV49,ENSMUSG00000043263,111.279884281681,
ENSG00000163565,Q8BV49,ENSMUSG00000043263,111.279884281681,
ENSG00000163565,Q8BV49,ENSMUSG00000043263,111.279884281681,
ENSG00000163565,Q8BV49,ENSMUSG00000043263,111.279884281681,
ENSG00000163565,Q8BV49,ENSMUSG00000043263,111.279884281681,
